ea_id,com_roadtype,com_vehicles,com_bus,com_urbancenter,com_dailymrkt,com_weeklymrkt,com_postoffice,com_publicphone,com_distprimary,com_classrooms,com_schoolelec,com_medicines,com_clinic,com_distclinic,com_bank
10101016,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,,Yes,No,No,No,21 to 25 kilometers,No
10101204,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
10101215,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
10101219,DIRT ROAD (MAINTAINED),YES,No,No,No,Yes,Yes,NO,,Yes,No,No,Yes,,No
10101355,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,No,No,No,No,11 to 15 kilometers,No
10101374,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,,Yes,No,No,No,11 to 15 kilometers,No
10101470,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,Yes,No,0 to 5 kilometes,No
10101562,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,No,No,Yes,,No
10101568,GRADED GRAVELED,NO,No,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
10101706,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,No,No,6 to 10 kilometers,No
10102004,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,Above 30 kilometers,No
10102379,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,,No,No,No,No,11 to 15 kilometers,No
10102621,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,16 to 20 kilometers,No
10103414,GRADED GRAVELED,NO,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10103452,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,Yes,No,No,No,16 to 20 kilometers,No
10103681,DIRT ROAD (MAINTAINED),YES,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,16 to 20 kilometers,No
10104150,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,Yes,No,21 to 25 kilometers,No
10104351,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,No,No,No,No,11 to 15 kilometers,No
10104440,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
10105352,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
10105511,DIRT ROAD (MAINTAINED),YES,Yes,No,No,Yes,No,NO,,No,No,No,No,26 to 30 kilometers,No
10105513,GRADED GRAVELED,YES,No,No,No,No,No,NO,,Yes,No,No,No,0 to 5 kilometes,No
10120286,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,No,No,0 to 5 kilometes,No
10120288,DIRT TRACK,NO,No,No,No,No,No,NO,3 to 5 kilometers,Yes,Yes,No,No,0 to 5 kilometes,No
10201137,TAR/ASPHALT,YES,Yes,No,No,Yes,No,NO,,Yes,No,Yes,No,0 to 5 kilometes,No
10201210,DIRT TRACK,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10201247,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,6 to 10 kilometers,No
10201442,DIRT TRACK,NO,No,No,No,No,No,NO,,Yes,No,No,No,11 to 15 kilometers,No
10201688,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
10202195,DIRT TRACK,NO,No,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
10202514,DIRT TRACK,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10203013,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,11 to 15 kilometers,No
10203085,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,Yes,No,No,No,6 to 10 kilometers,No
10203176,GRADED GRAVELED,YES,No,No,No,No,No,NO,,No,No,No,No,0 to 5 kilometes,No
10203221,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,,Yes,No,No,No,6 to 10 kilometers,No
10203623,DIRT TRACK,NO,No,No,No,No,No,NO,5 and above kilometers,No,No,No,No,Above 30 kilometers,No
10203744,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,5 and above kilometers,Yes,Yes,No,No,11 to 15 kilometers,No
10204101,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10204322,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
10204453,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10204586,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,Yes,No,Yes,Yes,,No
10204723,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,,Yes,No,Yes,Yes,,No
10205202,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,21 to 25 kilometers,No
10205507,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,,Yes,No,No,No,11 to 15 kilometers,No
10220027,TAR/ASPHALT,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10220103,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,No,No,0 to 5 kilometes,No
10220521,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
10220705,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,Yes,Yes,No,0 to 5 kilometes,No
10301026,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,3 to 5 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
10301306,TAR/ASPHALT,YES,Yes,No,No,No,No,YES,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
10301347,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,No,Yes,Yes,Yes,,No
10301663,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,Yes,Yes,No,6 to 10 kilometers,No
10301741,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
10302010,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
10303454,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
10304012,GRADED GRAVELED,NO,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,No,0 to 5 kilometes,No
10304360,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
10304625,DIRT ROAD (MAINTAINED),NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
10305446,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,NO,Under 2 kilometers,No,No,Yes,Yes,,No
10306417,TAR/ASPHALT,YES,Yes,No,No,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
10306431,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,16 to 20 kilometers,No
10307413,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,NO,Under 2 kilometers,Yes,No,Yes,Yes,,No
10308129,TAR/ASPHALT,YES,Yes,No,Yes,No,No,YES,Under 2 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
10308636,GRADED GRAVELED,NO,No,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
10309273,DIRT TRACK,NO,No,No,No,No,No,NO,3 to 5 kilometers,No,No,No,No,11 to 15 kilometers,No
10309281,DIRT ROAD (MAINTAINED),NO,Yes,No,No,No,Yes,NO,Under 2 kilometers,No,No,Yes,Yes,,No
10310469,GRADED GRAVELED,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,No,26 to 30 kilometers,No
10312048,TAR/ASPHALT,YES,Yes,No,Yes,No,No,NO,3 to 5 kilometers,Yes,No,Yes,No,6 to 10 kilometers,No
10312078,TAR/ASPHALT,YES,Yes,No,Yes,Yes,No,YES,Under 2 kilometers,Yes,No,Yes,Yes,,No
10312187,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,Yes,No,Yes,No,11 to 15 kilometers,No
10312600,DIRT ROAD (MAINTAINED),YES,No,No,No,No,No,NO,5 and above kilometers,Yes,No,No,No,16 to 20 kilometers,No
10320227,TAR/ASPHALT,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,Yes,No,Yes,Yes,,Yes
10401140,GRADED GRAVELED,YES,Yes,No,Yes,Yes,Yes,YES,Under 2 kilometers,No,No,Yes,Yes,,No
10401212,GRADED GRAVELED,YES,Yes,No,No,No,No,NO,Under 2 kilometers,No,No,Yes,No,11 to 15 kilometers,No
10401424,GRADED GRAVELED,YES,Yes,No,Yes,No,No,YES,Under 2 kilometers,No,No,Yes,No,6 to 10 kilometers,No
10401502,GRADED GRAVELED,YES,No,No,No,No,No,NO,Under 2 kilometers,Yes,Yes,No,No,0 to 5 kilometes,No
10401522,GRADED GRAVELED,YES,Yes,No,No,Yes,No,NO,3 to 5 kilometers,No,No,Yes,No,26 to 30 kilometers,No
