Freedom on the Net 2024 country score data,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Edition,Status,A1,A2,A3,A4,A5,A,B1,B2,B3,B4,B5,B6,B7,B8,B,C1,C2,C3,C4,C5,C6,C7,C8,C,Total
Angola,2024,PF,2,1,5,3,1,12,6,3,4,3,2,2,3,5,28,2,1,3,3,2,3,3,2,19,59
Argentina,2024,F,5,2,6,4,2,19,5,3,3,3,2,2,3,6,27,4,2,4,2,3,4,4,2,25,71
Armenia,2024,F,5,2,6,5,2,20,6,3,3,3,2,3,3,6,29,3,3,4,3,2,5,4,1,25,74
Australia,2024,F,6,2,6,5,4,23,5,2,2,3,3,3,4,6,28,5,2,6,2,2,3,4,1,25,76
Azerbaijan,2024,NF,5,1,3,2,0,11,3,2,1,1,1,0,2,3,13,1,2,1,3,1,1,1,0,10,34
Bahrain,2024,NF,6,2,4,3,0,15,1,0,0,0,0,1,1,3,6,0,0,2,1,1,0,2,1,7,28
Bangladesh,2024,PF,3,1,3,4,1,12,3,2,1,1,1,2,3,4,17,2,0,2,2,1,2,1,1,11,40
Belarus,2024,NF,5,3,4,1,0,13,1,1,0,0,1,0,1,1,5,1,0,0,1,1,0,0,1,4,22
Brazil,2024,PF,5,1,6,5,3,20,5,2,2,3,2,2,3,6,25,4,2,3,2,3,4,1,1,20,65
Cambodia,2024,PF,4,1,4,4,0,13,3,1,1,1,2,2,2,4,16,1,1,2,3,2,1,2,2,14,43
Canada,2024,F,6,2,6,5,4,23,5,3,4,4,4,3,3,6,32,5,2,5,4,4,4,5,2,31,86
Chile,2024,F,6,3,6,5,4,24,5,3,4,3,4,3,4,6,32,5,2,5,4,4,4,4,2,30,86
China,2024,NF,5,1,1,0,0,7,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,9
Colombia,2024,PF,5,2,6,4,2,19,5,2,3,3,2,2,3,5,25,4,2,5,3,2,3,1,1,21,65
Costa Rica,2024,F,5,2,6,4,4,21,6,4,4,3,3,2,4,6,32,6,3,5,3,5,5,3,2,32,85
Cuba,2024,NF,2,0,3,0,0,5,2,1,0,1,1,0,1,3,9,0,0,1,1,1,0,2,1,6,20
Ecuador,2024,PF,5,1,6,4,2,18,5,2,2,2,2,2,3,5,23,3,2,5,3,2,4,2,1,22,63
Egypt,2024,NF,4,2,4,3,1,14,1,1,1,1,1,0,2,2,9,0,0,0,1,1,0,1,2,5,28
Estonia,2024,F,6,3,6,6,4,25,4,3,4,4,3,3,4,6,31,6,3,6,4,5,4,5,3,36,92
Ethiopia,2024,NF,1,1,1,1,1,5,3,2,0,1,1,1,2,2,12,1,0,2,2,1,1,1,2,10,27
France,2024,F,6,3,5,4,4,22,4,2,3,4,3,3,4,6,29,5,2,5,2,2,3,4,2,25,76
Georgia,2024,F,5,2,6,4,2,19,5,4,3,4,2,2,3,5,28,3,3,5,3,3,4,4,2,27,74
Germany,2024,F,6,3,6,5,3,23,4,2,3,4,3,2,4,6,28,5,2,5,3,2,3,4,2,26,77
Ghana,2024,PF,3,1,5,4,1,14,6,3,2,3,2,3,3,6,28,4,2,3,2,3,3,3,3,23,65
Hungary,2024,PF,6,3,6,4,2,21,4,2,3,3,2,1,3,6,24,4,2,5,2,2,4,4,1,24,69
Iceland,2024,F,6,3,6,6,4,25,5,4,4,4,4,3,4,6,34,6,3,6,4,6,4,5,1,35,94
India,2024,PF,4,2,2,4,2,14,3,1,2,3,1,2,3,4,19,4,2,2,2,1,2,2,2,17,50
Indonesia,2024,PF,4,1,4,4,2,15,3,2,1,2,2,1,3,4,18,2,1,2,3,2,3,2,1,16,49
Iran,2024,NF,5,1,1,0,0,7,0,0,0,1,0,0,1,2,4,0,0,0,1,0,0,0,0,1,12
